timestep,demand_el_reference_gas_szenario,demand_el_rapeseedoil_scenario,demand_heat_gascooker_reference,demand_heat_gasdeepfryer,demand_heat_gascooker_gasscenario,demand_heat_wws,r_wood_ofen_kitchen,r_wood_ofen_diningarea,demand_heat_wws_without_demand_heat_space_ofen_diningarea,demand_heat_space_ofen_diningarea,pv_G1_south_utilization rate_normalised,pv_G1_south_normalised,pv_G1_east_normalised,pv_G1_north_normalised,pv_G2_north_normalised,pv_G3_north_normalised,pv_G3_west_normalised,wind_bornay_1kW_20m,wind_10kW_20m_normalised
1,1.21,1.21,0,0,0,4.74095617283951,0,0,4.74095617283951,0,0,0,0,0,0,0,0,0,0
2,1.21,1.21,0,0,0,4.58044012345679,0,0,4.58044012345679,0,0,0,0,0,0,0,0,0,0
3,1.21,1.21,0,0,0,4.74668888888889,0,0,4.74668888888889,0,0,0,0,0,0,0,0,0,0
4,1.21,1.21,0,0,0,4.82121419753086,0,0,4.82121419753086,0,0,0,0,0,0,0,0,0,0
5,1.21,1.21,0,0,0,4.90720493827161,0,0,4.90720493827161,0,0,0,0,0,0,0,0,0,0
6,1.21,1.21,0,0,0,4.97026481481481,0,0,4.97026481481481,0,0,0,0,0,0,0,0,0.0377385728227029,0
7,1.21,1.21,0,0,0,5.03905740740741,0,0,5.03905740740741,0,0,0,0,0,0,0,0,0.0531696106012178,0.0434578446294128
8,1.21,1.21,0,0,0,5.05625555555556,0,0,5.05625555555556,0,0,0,0,0,0,0,0,0.0822421055221683,0.0672200643067395
9,1.21,1.21,0,0,0,5.01039382716049,0,0,5.01039382716049,0,0,0,0,0.000337606112054329,0,0,0,0.10630374050862,0.0868866893383491
10,1.21,1.21,0,0,0,4.9416012345679,0,0,4.9416012345679,0,0,0,0,0.00332843803056027,0.00248070175438596,0.00277894736842105,0.00245855263157895,0.123825798201161,0.101208232268224
11,1.21,1.21,0,0,0,4.86707592592593,0,0,4.86707592592593,0,0.00231914122761665,0.00485894886363636,0.00613859649122807,0.00937096774193548,0.00690438596491228,0.0077890350877193,0.00679583333333333,0.14855539673611,0.121420813077589
12,1.21,1.21,0,0,0,4.80401604938272,0,0,4.80401604938272,0,0.00416987111423281,0.00873650568181818,0.0104070175438596,0.016223259762309,0.0118901315789474,0.0134506578947368,0.0117322368421053,0.16444093903771,0.134404760512801
