timestep;demand_el;pv_G1_south_normalised
1;1.21;0
2;1.21;0
3;1.21;0
4;1.21;0
5;1.21;0
6;1.21;0
7;1.21;0
8;1.21;0
9;1.21;0
10;1.21;0
11;1.21;0.004858949
12;1.21;0.008736506
13;1.21;0.007611222
14;1.21;0.004573438
15;1.21;0
16;1.21;0
17;1.21;0
18;1.21;0
19;1.21;0
20;1.21;0
21;1.21;0
22;1.21;0
23;1.21;0
24;1.21;0
25;1.21;0
26;1.21;0
27;1.21;0
28;1.21;0
29;1.21;0
30;1.21;0
31;1.21;0
32;1.21;0
33;1.21;0.004533949
34;1.21;0.03531108
35;1.633685056;0.078231534
36;1.951448848;0.074555398
37;2.163291376;0.04749858
38;2.26921264;0.031893466
39;2.26921264;0.011631392
40;2.163291376;0
41;1.951448848;0
42;1.633685056;0
43;1.21;0
44;1.21;0
45;1.21;0
46;1.21;0
47;1.21;0
48;1.21;0
49;1.21;0
50;1.21;0
51;1.21;0
52;1.21;0
53;1.21;0
54;1.21;0
55;1.21;0
56;1.21;0
57;1.21;0.295724432
58;1.21;0.492102273
59;1.633685056;0.612116477
60;1.951448848;0.626605114
61;2.163291376;0.549957386
62;2.26921264;0.453707386
63;2.26921264;0.324474432
64;2.163291376;0.165042614
65;1.951448848;0
66;1.633685056;0
67;1.21;0
68;1.21;0
69;1.21;0
70;1.21;0
71;1.21;0
72;1.21;0
73;1.21;0
74;1.21;0
75;1.21;0
76;1.21;0
77;1.21;0
78;1.21;0
79;1.21;0
80;1.21;0
81;1.21;0.02934375
82;1.21;0.006068892
83;1.633685056;0.075150568
84;1.951448848;0.230809659
85;2.163291376;0.171349432
86;2.26921264;0.5453125
87;2.26921264;0.117646307
88;2.163291376;0.024798295
89;1.951448848;0
90;1.633685056;0
91;1.21;0
92;1.21;0
93;1.21;0
94;1.21;0
95;1.21;0
96;1.21;0
97;1.21;0
98;1.21;0
99;1.21;0
100;1.21;0
101;1.21;0
102;1.21;0
103;1.21;0
104;1.21;0
105;1.21;0
106;1.21;0.005119318
107;2.692897696;0.073321023
108;3.805070968;0.100009943
109;4.546519816;0.162798295
110;4.91724424;0.062234375
111;4.91724424;0.101978693
112;4.546519816;0.013564347
113;3.805070968;0
114;2.692897696;0
115;1.21;0
116;1.21;0
117;1.21;0
118;1.21;0
119;1.21;0
120;1.21;0
121;1.21;0
122;1.21;0
123;1.21;0
124;1.21;0
125;1.21;0
126;1.21;0
127;1.21;0
128;1.21;0
129;1.21;0
130;1.21;0.00431179
131;4.016913496;0.012143466
132;6.122098618;0.017732955
133;7.525555366;0.013861506
134;8.22728374;0.0106875
135;8.22728374;0.003760938
136;7.525555366;0
137;7.525555366;0
138;4.016913496;0
139;1.21;0
140;1.21;0
141;1.21;0
142;1.21;0
143;1.21;0
144;1.21;0
145;1.21;0
146;1.21;0
147;1.21;0
148;1.21;0
149;1.21;0
150;1.21;0
151;1.21;0
152;1.21;0
153;1.21;0
154;1.21;0.082586648
155;1.21;0.142021307
156;1.21;0.084637784
157;1.21;0.432329545
158;1.21;0.450639205
159;1.21;0.209928977
160;1.21;0.192627841
161;1.21;0
162;1.21;0
163;1.21;0
164;1.21;0
165;1.21;0
166;1.21;0
167;1.21;0
168;1.21;0
169;1.21;0
170;1.21;0
171;1.21;0
172;1.21;0
173;1.21;0
174;1.21;0
175;1.21;0
176;1.21;0
177;1.21;0
178;1.21;0.009666477
179;1.21;0.027237216
180;1.21;0.041599432
181;1.21;0.035190341
182;1.21;0.02959233
183;1.21;0.012606534
184;1.21;0
185;1.21;0
186;1.21;0
187;1.21;0
188;1.21;0
189;1.21;0
190;1.21;0
191;1.21;0
192;1.21;0
193;1.21;0
194;1.21;0
195;1.21;0
196;1.21;0
197;1.21;0
198;1.21;0
199;1.21;0
200;1.21;0
201;1.21;0
202;1.21;0.006229261
203;1.633685056;0.012291761
204;1.951448848;0.017683239
205;2.163291376;0.016292614
206;2.26921264;0.015269886
207;2.26921264;0.005647159
208;2.163291376;0
209;1.951448848;0
210;1.633685056;0
211;1.21;0
212;1.21;0
213;1.21;0
214;1.21;0
215;1.21;0
216;1.21;0
217;1.21;0
218;1.21;0
219;1.21;0
220;1.21;0
221;1.21;0
222;1.21;0
223;1.21;0
224;1.21;0
225;1.21;0
226;1.21;0.008247301
227;1.633685056;0.020933239
228;1.951448848;0.031900568
229;2.163291376;0.029919034
230;2.26921264;0.02703267
231;2.26921264;0.009294034
232;2.163291376;0
233;1.951448848;0
234;1.633685056;0
235;1.21;0
236;1.21;0
237;1.21;0
238;1.21;0
239;1.21;0
240;1.21;0
241;1.21;0
242;1.21;0
243;1.21;0
244;1.21;0
245;1.21;0
246;1.21;0
247;1.21;0
248;1.21;0
249;1.21;0.187741477
250;1.21;0.3771875
251;1.633685056;0.553011364
252;1.951448848;0.720553977
253;2.163291376;0.467471591
254;2.26921264;0.154744318
255;2.26921264;0.079818182
256;2.163291376;0.024059659
257;1.951448848;0
258;1.633685056;0
259;1.21;0
260;1.21;0
261;1.21;0
262;1.21;0
263;1.21;0
264;1.21;0
265;1.21;0
266;1.21;0
267;1.21;0
268;1.21;0
269;1.21;0
270;1.21;0
271;1.21;0
272;1.21;0
273;1.21;0.009465625
274;1.21;0.010246591
275;2.692897696;0.037730114
276;3.805070968;0.246803977
277;4.546519816;0.1341875
278;4.91724424;0.181036932
279;4.91724424;0.108859375
280;4.546519816;0.03006392
281;3.805070968;0
282;2.692897696;0
283;1.21;0
284;1.21;0
285;1.21;0
286;1.21;0
287;1.21;0
288;1.21;0
289;1.21;0
290;1.21;0
291;1.21;0
292;1.21;0
293;1.21;0
294;1.21;0
295;1.21;0
296;1.21;0
297;1.21;0
298;1.21;0.349602273
299;4.016913496;0.662940341
300;6.122098618;0.639943182
301;7.525555366;0.136254261
302;8.22728374;0.065677557
303;8.22728374;0.081039773
304;7.525555366;0.006179972
305;7.525555366;0
306;4.016913496;0
307;1.21;0
308;1.21;0
309;1.21;0
310;1.21;0
311;1.21;0
312;1.21;0
313;1.21;0
314;1.21;0
315;1.21;0
316;1.21;0
317;1.21;0
318;1.21;0
319;1.21;0
320;1.21;0
321;1.21;0
322;1.21;0.012276847
323;1.21;0.044339489
324;1.21;0.053897727
325;1.21;0.058326705
326;1.21;0.053088068
327;1.21;0.040950284
328;1.21;0.00612358
329;1.21;0
330;1.21;0
331;1.21;0
332;1.21;0
333;1.21;0
334;1.21;0
335;1.21;0
336;1.21;0
337;1.21;0
338;1.21;0
339;1.21;0
340;1.21;0
341;1.21;0
342;1.21;0
343;1.21;0
344;1.21;0
345;1.21;0.00677571
346;1.21;0.016113636
347;1.21;0.068302557
348;1.21;0.111426136
349;1.21;0.118322443
350;1.21;0.051142045
351;1.21;0.023169034
352;1.21;0.002684233
353;1.21;0
354;1.21;0
355;1.21;0
356;1.21;0
357;1.21;0
358;1.21;0
359;1.21;0
360;1.21;0
361;1.21;0
362;1.21;0
363;1.21;0
364;1.21;0
365;1.21;0
366;1.21;0
367;1.21;0
368;1.21;0
369;1.21;0.097035511
370;1.21;0.277159091
371;1.633685056;0.382713068
372;1.951448848;0.418423295
373;2.163291376;0.389048295
374;2.26921264;0.324602273
375;2.26921264;0.202741477
376;2.163291376;0.078441761
377;1.951448848;0
378;1.633685056;0
379;1.21;0
380;1.21;0
381;1.21;0
382;1.21;0
383;1.21;0
384;1.21;0
385;1.21;0
386;1.21;0
387;1.21;0
388;1.21;0
389;1.21;0
390;1.21;0
391;1.21;0
392;1.21;0
393;1.21;0.002528977
394;1.21;0.01571875
395;1.633685056;0.048225852
396;1.951448848;0.062569602
397;2.163291376;0.048913352
398;2.26921264;0.05140625
399;2.26921264;0.02871875
400;2.163291376;0.003785369
401;1.951448848;0
402;1.633685056;0
403;1.21;0
404;1.21;0
405;1.21;0
406;1.21;0
407;1.21;0
408;1.21;0
409;1.21;0
410;1.21;0
411;1.21;0
412;1.21;0
413;1.21;0
414;1.21;0
415;1.21;0
416;1.21;0
417;1.21;0.200909091
418;1.21;0.337713068
419;1.633685056;0.479403409
420;1.951448848;0.560241477
421;2.163291376;0.510951705
422;2.26921264;0.415482955
423;2.26921264;0.278778409
424;2.163291376;0.103380682
425;1.951448848;0
426;1.633685056;0
427;1.21;0
428;1.21;0
429;1.21;0
430;1.21;0
431;1.21;0
432;1.21;0
433;1.21;0
434;1.21;0
435;1.21;0
436;1.21;0
437;1.21;0
438;1.21;0
439;1.21;0
440;1.21;0
441;1.21;0.317215909
442;1.21;0.506704545
443;2.692897696;0.540724432
444;3.805070968;0.323366477
445;4.546519816;0.397485795
446;4.91724424;0.419318182
447;4.91724424;0.230582386
448;4.546519816;0.082039773
449;3.805070968;0
450;2.692897696;0
451;1.21;0
452;1.21;0
453;1.21;0
454;1.21;0
455;1.21;0
456;1.21;0
457;1.21;0
458;1.21;0
459;1.21;0
460;1.21;0
461;1.21;0
462;1.21;0
463;1.21;0
464;1.21;0
465;1.21;0.092649148
466;1.21;0.188693182
467;4.016913496;0.239644886
468;6.122098618;0.235028409
469;7.525555366;0.236150568
470;8.22728374;0.189204545
471;8.22728374;0.097291193
472;7.525555366;0.021659091
473;7.525555366;0
474;4.016913496;0
475;1.21;0
476;1.21;0
477;1.21;0
478;1.21;0
479;1.21;0
480;1.21;0
481;1.21;0
482;1.21;0
483;1.21;0
484;1.21;0
485;1.21;0
486;1.21;0
487;1.21;0
488;1.21;0
489;1.21;0.013535938
490;1.21;0.08597017
491;1.21;0.11146733
492;1.21;0.178252841
493;1.21;0.180965909
494;1.21;0.155099432
495;1.21;0.076539773
496;1.21;0.017548295
497;1.21;0
498;1.21;0
499;1.21;0
500;1.21;0
501;1.21;0
502;1.21;0
503;1.21;0
504;1.21;0
505;1.21;0
506;1.21;0
507;1.21;0
508;1.21;0
509;1.21;0
510;1.21;0
511;1.21;0
512;1.21;0
513;1.21;0
514;1.21;0.003874716
515;1.21;0.009707813
516;1.21;0.01352017
517;1.21;0.01572017
518;1.21;0.011116761
519;1.21;0.004930114
520;1.21;0
521;1.21;0
522;1.21;0
523;1.21;0
524;1.21;0
525;1.21;0
526;1.21;0
527;1.21;0
528;1.21;0
529;1.21;0
530;1.21;0
531;1.21;0
532;1.21;0
533;1.21;0
534;1.21;0
535;1.21;0
536;1.21;0
537;1.21;0.186477273
